Food_name,Wt_No,Unit,Calorie
apple_pie,100,g,237
baby_back_ribs,100,g,290
baklava,100,g,428
beef_carpaccio,100,g,90
beef_tartare,100,g,127
beet_salad,100,g,272
beignets,100,g,160
bibimbap,100,g,129
bread_pudding,100,g,153
breakfast_burrito,100,g,202
bruschetta,100,g,153
caesar_salad,100,g,160
cannoli,100,g,254
caprese_salad,100,g,177
carrot_cake,100,g,408
ceviche,100,g,70
cheese_plate,100,g,404
cheesecake,100,g,321
chicken_curry,100,g,124
chicken_quesadilla,100,g,260
chicken_wings,100,g,203
chocolate_cake,100,g,367
chocolate_mousse,100,g,209
churros,100,g,447
clam_chowder,100,g,56
club_sandwich,100,g,220
crab_cakes,100,g,155
creme_brulee,100,g,210
croque_madame,100,g,543
cup_cakes,100,g,369
deviled_eggs,100,g,143
donuts,100,g,412
dumplings,100,g,112
edamame,100,g,109
eggs_benedict,100,g,276
escargots,100,g,80
falafel,100,g,275
filet_mignon,100,g,193
fish_and_chips,100,g,263
foie_gras,100,g,411
french_fries,100,g,292
french_onion_soup,100,g,153
french_toast,100,g,212
fried_calamari,100,g,125
fried_rice,100,g,168
frozen_yogurt,100,g,107
garlic_bread,100,g,330
gnocchi,100,g,158
greek_salad,100,g,101
grilled_cheese_sandwich,100,g,350
grilled_salmon,100,g,183
guacamole,100,g,150
gyoza,100,g,274
hamburger,100,g,295
hot_and_sour_soup,100,g,39
hot_dog,100,g,290
huevos_rancheros,100,g,327
hummus,100,g,166
ice_cream,100,g,207
lasagna,100,g,135
lobster_bisque,100,g,100
lobster_roll_sandwich,100,g,219
macaroni_and_cheese,100,g,164
macarons,100,g,435
miso_soup,100,g,35
mussels,100,g,172
nachos,100,g,306
omelette,100,g,154
onion_rings,100,g,400
oysters,100,g,163
pad_thai,100,g,170
paella,100,g,158
pancakes,100,g,227
panna_cotta,100,g,223
peking_duck,100,g,265
pho,100,g,72
pizza,100,g,266
pork_chop,100,g,250
poutine,100,g,233
prime_rib,100,g,266
pulled_pork_sandwich,100,g,168
ramen,100,g,436
ravioli,100,g,77
red_velvet_cake,100,g,367
risotto,100,g,348
samosa,100,g,308
sashimi,100,g,146
scallops,100,g,111
seaweed_salad,100,g,45
shrimp_and_grits,100,g,119
spaghetti_bolognese,100,g,146
spaghetti_carbonara,100,g,200
spring_rolls,100,g,109
steak,100,g,271
strawberry_shortcake,100,g,346
sushi,100,g,143
tacos,100,g,226
takoyaki,100,g,175
tiramisu,100,g,283
tuna_tartare,100,g,175
waffles,100,g,291